"YEAR","JURISDICTION","LOCATION","Sum(COUNT)","Sum(CHARGES)","Sum(FINES)","Tests_Positive","Positive_Rate_Percent"
2008,"NSW","All regions",542,0,0,542,2.7
2008,"QLD","All regions",216,0,0,216,2
2008,"SA","All regions",600,0,0,600,2.3
2008,"TAS","All regions",211,0,0,211,51.2
2008,"VIC","All regions",438,0,0,438,1.8
2008,"WA","All regions",406,0,0,406,4.1
2009,"NSW","All regions",613,0,0,613,2.5
2009,"QLD","All regions",254,0,0,254,2
2009,"SA","All regions",1179,0,0,1179,2.7
2009,"VIC","All regions",323,0,0,323,1.2
2009,"WA","All regions",289,0,0,289,3.8
2010,"NSW","All regions",735,0,0,735,2.3
2010,"QLD","All regions",440,0,0,440,2
2010,"SA","All regions",1699,0,0,1699,3.8
2010,"VIC","All regions",741,0,0,741,1.8
2010,"WA","All regions",418,0,0,418,4.3
2011,"NSW","All regions",666,0,0,666,2
2011,"QLD","All regions",825,0,0,825,3.3
2011,"SA","All regions",2320,0,0,2320,5.3
2011,"TAS","All regions",573,0,0,573,34.1
2011,"VIC","All regions",760,0,0,760,3
2011,"WA","All regions",460,0,0,460,6
2012,"ACT","All regions",37,0,0,37,2.1
2012,"NSW","All regions",705,0,0,705,2.2
2012,"QLD","All regions",937,0,0,937,4.8
2012,"SA","All regions",3237,0,0,3237,7.4
2012,"TAS","All regions",523,0,0,523,30.8
2012,"VIC","All regions",2180,0,0,2180,4.6
2012,"WA","All regions",623,0,0,623,6.8
2013,"ACT","All regions",116,0,0,116,4.8
2013,"NSW","All regions",898,0,0,898,2.6
2013,"QLD","All regions",1300,0,0,1300,6.3
2013,"SA","All regions",3737,0,0,3737,7.3
2013,"TAS","All regions",639,0,0,639,35.1
2013,"VIC","All regions",2540,0,0,2540,6.4
2013,"WA","All regions",539,0,0,539,7.4
2014,"ACT","All regions",392,0,0,392,15.6
2014,"NSW","All regions",2096,0,0,2096,5.4
2014,"QLD","All regions",2208,0,0,2208,10.4
2014,"SA","All regions",4681,0,0,4681,9.4
2014,"TAS","All regions",1969,0,0,1969,57.4
2014,"VIC","All regions",3749,0,0,3749,6.7
2014,"WA","All regions",1104,0,0,1104,7.6
2015,"ACT","All regions",258,0,0,258,12.3
2015,"NSW","All regions",9123,0,0,9123,14.7
2015,"QLD","All regions",7446,0,0,7446,18.6
2015,"SA","All regions",5239,0,0,5239,9.8
2015,"TAS","All regions",2318,0,0,2318,62
2015,"VIC","All regions",7823,0,0,7823,7.3
2015,"WA","All regions",2816,0,0,2816,9.4
2016,"ACT","All regions",444,0,0,444,16.3
2016,"NSW","All regions",8220,0,0,8220,9.2
2016,"QLD","All regions",10663,0,0,10663,21
2016,"SA","All regions",4310,0,0,4310,8.9
2016,"TAS","All regions",2154,0,0,2154,57.9
2016,"VIC","All regions",9065,0,0,9065,9.5
2016,"WA","All regions",3651,0,0,3651,10.3
2017,"ACT","All regions",504,0,0,504,17.3
2017,"NSW","All regions",9273,0,0,9273,8.3
2017,"QLD","All regions",11697,0,0,11697,18.8
2017,"SA","All regions",4337,0,0,4337,8.7
2017,"TAS","All regions",2152,0,0,2152,57.7
2017,"VIC","All regions",8252,0,0,8252,8.2
2017,"WA","All regions",3311,0,0,3311,8.6
2018,"ACT","All regions",877,0,0,877,27.2
2018,"NSW","All regions",9067,0,0,9067,7.8
2018,"QLD","All regions",14020,0,0,14020,20.7
2018,"SA","All regions",5141,0,0,5141,10
2018,"TAS","All regions",2408,0,0,2408,60.1
2018,"VIC","All regions",11548,0,0,11548,10.5
2018,"WA","All regions",4814,0,0,4814,11.9
2019,"ACT","All regions",852,0,0,852,20.6
2019,"NSW","All regions",9446,0,0,9446,5.7
2019,"QLD","All regions",13366,0,0,13366,20
2019,"SA","All regions",4985,0,0,4985,10.2
2019,"TAS","All regions",2487,0,0,2487,51.5
2019,"VIC","All regions",11693,0,0,11693,6.6
2019,"WA","All regions",5175,0,0,5175,13
2020,"ACT","All regions",834,0,0,834,29.1
2020,"NSW","All regions",12652,0,0,12652,9.8
2020,"QLD","All regions",8871,0,0,8871,28.1
2020,"SA","All regions",5728,0,0,5728,16.5
2020,"TAS","All regions",3273,0,0,3273,62.7
2020,"VIC","All regions",10256,0,0,10256,11.3
2020,"WA","All regions",4919,0,0,4919,17.7
2021,"ACT","All regions",461,0,0,461,57.1
2021,"NSW","All regions",16997,0,0,16997,16.1
2021,"NT","All regions",273,0,0,273,13.7
2021,"QLD","All regions",9847,0,0,9847,20.5
2021,"SA","All regions",4226,0,0,4226,15.2
2021,"TAS","All regions",2618,0,0,2618,59.7
2021,"VIC","All regions",9717,0,0,9717,5.9
2021,"WA","All regions",5326,0,0,5326,12.9
2022,"ACT","All regions",390,0,0,390,14.1
2022,"NSW","All regions",9527,0,0,9527,8.6
2022,"NT","All regions",181,0,0,181,16.2
2022,"QLD","All regions",12064,0,0,12064,19.3
2022,"SA","All regions",5607,0,0,5607,8.6
2022,"TAS","All regions",2209,0,0,2209,49.5
2022,"VIC","All regions",10628,0,0,10628,6.3
2022,"WA","All regions",6262,0,0,6262,14.4
2023,"ACT","Major Cities of Australia",46,0,0,203,19.3
2023,"ACT","Major Cities of Australia",83,0,0,203,19.3
2023,"ACT","Major Cities of Australia",73,0,0,203,19.3
2023,"ACT","Major Cities of Australia",1,0,0,203,19.3
2023,"NSW","Inner Regional Australia",21,0,0,13517,8.5
2023,"NSW","Inner Regional Australia",3390,0,0,13517,8.5
2023,"NSW","Inner Regional Australia",7161,0,0,13517,8.5
2023,"NSW","Inner Regional Australia",5778,0,0,13517,8.5
2023,"NSW","Inner Regional Australia",168,0,0,13517,8.5
2023,"NSW","Major Cities of Australia",21,0,0,13517,8.5
2023,"NSW","Major Cities of Australia",4056,0,0,13517,8.5
2023,"NSW","Major Cities of Australia",8148,0,0,13517,8.5
2023,"NSW","Major Cities of Australia",7044,0,0,13517,8.5
2023,"NSW","Major Cities of Australia",120,0,0,13517,8.5
2023,"NSW","Outer Regional Australia",21,0,0,13517,8.5
2023,"NSW","Outer Regional Australia",678,0,0,13517,8.5
2023,"NSW","Outer Regional Australia",1668,0,0,13517,8.5
2023,"NSW","Outer Regional Australia",1662,0,0,13517,8.5
2023,"NSW","Outer Regional Australia",48,0,0,13517,8.5
2023,"NSW","Remote Australia",57,0,0,13517,8.5
2023,"NSW","Remote Australia",159,0,0,13517,8.5
2023,"NSW","Remote Australia",240,0,0,13517,8.5
2023,"NSW","Remote Australia",3,0,0,13517,8.5
2023,"NSW","Unknown",21,0,0,13517,8.5
2023,"NSW","Unknown",15,0,0,13517,8.5
2023,"NSW","Unknown",30,0,0,13517,8.5
2023,"NSW","Very Remote Australia",33,0,0,13517,8.5
2023,"NSW","Very Remote Australia",9,0,0,13517,8.5
2023,"QLD","Unknown",11983,0,0,11983,21
2023,"SA","Unknown",7,0,0,5329,10.1
2023,"SA","Unknown",504,0,0,5329,10.1
2023,"SA","Unknown",1862,0,0,5329,10.1
2023,"SA","Unknown",2361,0,0,5329,10.1
2023,"SA","Unknown",80,0,0,5329,10.1
2023,"SA","Unknown",515,0,0,5329,10.1
2023,"TAS","Unknown",2223,0,0,2223,45.1
2023,"VIC","Inner Regional Australia",317,0,0,8813,5.9
2023,"VIC","Inner Regional Australia",1057,0,0,8813,5.9
2023,"VIC","Inner Regional Australia",933,0,0,8813,5.9
2023,"VIC","Inner Regional Australia",25,0,0,8813,5.9
2023,"VIC","Major Cities of Australia",1,0,0,8813,5.9
2023,"VIC","Major Cities of Australia",689,0,0,8813,5.9
2023,"VIC","Major Cities of Australia",2584,0,0,8813,5.9
2023,"VIC","Major Cities of Australia",2551,0,0,8813,5.9
2023,"VIC","Major Cities of Australia",39,0,0,8813,5.9
2023,"VIC","Outer Regional Australia",78,0,0,8813,5.9
2023,"VIC","Outer Regional Australia",269,0,0,8813,5.9
2023,"VIC","Outer Regional Australia",257,0,0,8813,5.9
2023,"VIC","Outer Regional Australia",6,0,0,8813,5.9
2023,"VIC","Remote Australia",2,0,0,8813,5.9
2023,"VIC","Remote Australia",4,0,0,8813,5.9
2023,"VIC","Unknown",1,0,0,8813,5.9
2023,"WA","Unknown",8,0,0,11128,24.2
2023,"WA","Unknown",721,0,0,11128,24.2
2023,"WA","Unknown",2388,0,0,11128,24.2
2023,"WA","Unknown",2355,0,0,11128,24.2
2023,"WA","Unknown",33,0,0,11128,24.2
2023,"WA","Unknown",17695,0,0,11128,24.2
